ID_estudiante;género;edad;horas_estudio_día;horas_sueño;horas_uso_smartphone;horas_redes_sociales;horas_youtube;horas_videojuego;horas_descanso_día;g_ingesta_café;horas_ejercicio;tareas_completadas;porcentaje_asistencia;nivel_stress;puntuación_enfoque;calificación_final;puntuación_productividad
1528;masculino;20;9,39;6,21;11,22;2,87;1,07;5,27;6;0,24;1,52;14;95,60;5;75;80,24;67,24
1529;masculino;25;4,76;8,67;3,33;0,54;1,19;3,42;14;0,08;0,72;9;52,02;10;33;48,16;40,62
1530;femenino;22;9,95;4,14;10,37;2,58;0,60;2,54;6;0,06;1,53;13;63,14;1;51;71,75;56,74
1531;femenino;18;0,94;6,33;10,02;1,74;3,05;3,95;5;0,35;0,90;11;72,42;10;95;52,40;30,36
1532;masculino;17;1,71;8,76;9,63;6,29;1,08;1,20;10;0,31;1,37;1;54,32;5;87;48,06;40,75
1533;femenino;21;4,71;8,92;3,88;7,04;4,13;1,73;14;0,39;0,33;3;63,55;3;86;50,22;66,76
1534;femenino;25;8,81;3,83;9,24;1,39;5,74;1,60;4;0,29;1,70;18;86,31;6;84;71,29;61,85
1535;masculino;22;5,77;8,95;3,51;4,87;3,41;3,62;12;0,35;1,83;2;55,85;8;35;93,62;48,87
1536;masculino;26;7,46;3,09;4,06;1,61;4,31;3,05;1;0,25;1,68;17;81,45;8;88;71,72;60,77
1537;femenino;28;4,52;8,99;9,90;6,66;1,20;3,13;13;0,38;1,78;1;84,50;7;37;61,80;39,60
1538;masculino;23;0,88;4,85;7,22;6,17;4,90;5,80;9;0,44;1,65;10;42,98;3;90;67,86;31,81
1539;masculino;21;6,65;7,05;3,97;4,65;5,14;1,02;4;0,21;0,67;1;67,91;2;90;81,42;73,03
1540;femenino;26;6,52;3,07;8,55;2,54;5,31;1,32;1;0,10;1,88;8;43,14;5;72;76,59;41,24
1541;masculino;22;1,18;8,12;10,36;7,86;5,19;3,46;11;0,03;0,63;1;98,91;4;74;44,53;39,64
1542;femenino;21;2,12;6,02;6,91;5,17;1,87;3,06;4;0,34;1,47;10;50,43;3;38;84,98;25,19
1543;femenino;27;5,02;8,92;3,01;5,91;3,17;2,72;11;0,10;0,23;2;84,50;1;63;89,44;67,61
1544;femenino;25;4,74;6,89;7,17;7,04;1,86;2,67;9;0,18;1,10;0;83,78;4;83;80,11;57,32
1545;femenino;22;7,65;8,84;7,23;6,59;5,27;3,73;11;0,21;0,45;0;62,20;4;45;66,53;59,25
1546;masculino;27;4,18;7,28;7,76;6,57;5,45;4,73;12;0,48;1,23;12;82,90;3;68;70,80;51,08
1547;masculino;24;6,80;8,22;9,48;2,03;4,05;2,28;6;0,49;1,25;8;59,38;4;78;53,29;60,49
1548;masculino;18;7,19;8,24;11,78;2,53;1,32;3,02;12;0,09;0,52;16;46,41;2;47;76,29;48,53
1549;femenino;28;6,63;4,73;1,76;3,14;0,68;4,40;2;0,38;0,05;19;96,48;7;84;93,63;67,55
1550;masculino;29;6,16;7,04;2,70;7,33;5,43;2,56;9;0,18;0,88;15;77,87;4;56;40,18;61,39
1551;masculino;25;8,15;9,12;9,87;0,46;2,14;1,38;6;0,04;0,18;12;46,92;10;30;64,86;44,08
1552;otro;21;6,74;9,15;6,58;2,07;3,90;1,01;2;0,15;0,08;6;52,27;5;66;46,58;61,32
1553;otro;23;8,42;5,69;9,07;3,54;4,90;0,42;12;0,26;0,40;7;47,73;5;75;63,16;57,38
1554;masculino;26;6,55;5,27;5,28;5,72;4,01;4,20;6;0,02;1,58;7;42,82;7;98;46,55;58,81
1555;masculino;29;2,01;7,58;10,15;1,30;5,93;1,64;10;0,02;1,48;19;88,05;10;64;48,90;30,64
1556;femenino;17;3,44;8,45;5,34;4,06;3,45;3,21;4;0,05;0,72;8;42,59;4;66;88,99;46,71
1557;femenino;26;3,64;3,25;11,39;2,68;3,36;3,86;12;0,44;0,95;7;82,40;2;76;76,96;35,59
1558;masculino;21;1,39;3,65;5,00;1,73;3,70;4,32;4;0,03;1,85;12;85,53;7;47;97,37;23,02
1559;masculino;28;7,08;8,45;3,74;0,49;3,20;0,24;1;0,43;1,43;2;52,57;6;69;59,89;65,44
1560;femenino;26;6,15;6,06;1,67;6,58;4,66;1,64;6;0,33;1,58;1;83,48;4;55;80,27;60,95
1561;femenino;18;6,10;7,67;10,26;5,48;5,63;1,69;6;0,22;0,92;15;80,49;8;99;78,75;60,62
1562;femenino;28;5,05;8,74;11,42;2,25;5,43;2,78;10;0,02;1,80;8;93,32;10;38;61,47;37,27
1563;masculino;22;5,66;8,30;10,78;3,11;2,96;2,87;3;0,12;1,68;5;48,90;8;99;79,51;54,47
1564;masculino;27;0,58;8,67;9,24;4,38;5,56;1,37;2;0,29;1,08;16;84,42;10;98;69,75;39,30
1565;femenino;17;1,41;6,60;5,47;2,57;0,87;1,06;9;0,12;1,82;7;59,40;7;32;91,45;21,22
1566;masculino;19;6,99;4,10;4,04;1,50;3,33;5,02;1;0,02;0,75;7;41,05;1;64;77,50;54,74
1567;masculino;21;2,98;6,31;3,77;1,69;3,05;2,99;5;0,35;1,95;17;60,12;2;48;73,08;40,66
1568;masculino;20;1,53;9,74;9,23;6,81;1,27;0,89;3;0,42;0,97;3;61,78;3;64;83,56;39,18
1569;femenino;19;3,62;5,14;4,47;3,88;5,90;2,80;3;0,16;0,08;8;73,38;4;64;45,00;44,30
1570;femenino;26;2,92;5,93;9,53;3,77;5,75;4,89;13;0,49;0,50;10;93,26;5;69;77,59;38,97
1571;femenino;29;0,78;8,36;11,80;3,10;0,01;1,92;6;0,42;0,40;16;74,46;2;53;47,31;27,63
1572;femenino;21;4,40;3,53;2,67;5,78;3,23;1,07;13;0,10;0,63;19;45,04;1;53;55,37;41,32
1573;femenino;27;0,76;8,30;1,81;6,64;0,91;4,57;2;0,40;1,67;12;79,68;3;81;76,31;52,39
1574;femenino;24;0,50;4,92;1,87;5,76;2,04;0,16;2;0,00;1,32;6;63,49;1;45;71,52;29,93
1575;masculino;27;8,03;4,87;1,18;3,88;1,99;3,42;10;0,06;1,50;0;59,45;3;79;45,84;71,61
1576;masculino;20;3,49;7,08;8,45;1,60;2,07;4,27;1;0,03;1,33;4;52,83;5;47;90,71;32,62
1577;femenino;17;5,89;4,79;7,32;4,33;3,45;2,77;4;0,44;0,95;8;75,93;4;31;44,08;38,27
1578;masculino;27;3,33;7,49;6,99;5,81;3,09;0,15;2;0,25;1,15;11;62,27;4;39;52,75;35,41
1579;femenino;23;9,34;9,36;7,19;3,31;2,79;5,03;3;0,21;1,98;1;99,54;3;54;72,40;78,05
1580;masculino;24;7,43;5,83;1,30;7,93;3,13;4,23;2;0,41;1,93;19;84,24;3;42;96,71;63,45
1581;masculino;19;4,01;9,60;3,85;7,48;3,59;0,23;12;0,17;1,60;15;46,75;9;66;73,58;49,96
1582;femenino;22;2,50;9,60;3,56;7,46;1,51;2,66;2;0,23;0,35;16;52,83;8;52;97,53;41,44
1583;femenino;18;1,81;4,45;6,01;4,75;4,89;1,94;1;0,02;1,17;18;59,34;5;32;52,38;18,42
1584;femenino;23;7,74;6,02;10,61;4,42;3,31;5,67;4;0,42;1,68;7;92,10;6;48;68,13;50,21
1585;femenino;24;4,80;9,93;11,68;4,27;1,58;2,81;1;0,46;1,95;10;41,47;5;66;99,31;45,05
1586;masculino;22;2,70;3,90;7,54;3,75;1,03;0,73;9;0,02;0,63;6;97,06;3;89;94,34;45,02
1587;masculino;22;9,24;6,33;3,34;1,29;4,59;0,00;1;0,45;1,50;5;57,00;4;52;96,64;67,06
1588;femenino;21;4,21;6,02;4,88;7,01;3,16;3,27;11;0,19;1,98;4;82,03;1;41;94,03;45,75
1589;masculino;24;5,66;8,67;4,24;6,54;1,11;1,69;13;0,28;0,85;0;56,35;4;62;58,30;59,59
1590;masculino;17;8,65;4,13;2,85;5,94;5,03;1,86;5;0,08;0,37;16;48,39;8;70;75,84;59,49
1591;masculino;26;8,42;4,55;11,75;5,52;4,21;5,06;5;0,39;0,68;1;57,54;3;64;83,42;50,16
1592;masculino;20;6,56;4,23;2,01;3,73;1,96;1,66;3;0,21;1,37;11;40,74;6;63;71,68;50,75
1593;femenino;20;8,94;4,17;7,01;7,96;1,67;3,25;3;0,37;1,23;3;77,97;2;51;40,75;59,23
1594;femenino;19;9,54;4,80;9,68;3,53;1,32;2,94;9;0,29;1,37;3;87,42;8;81;76,89;63,96
1595;femenino;19;9,38;6,70;11,31;2,10;0,43;1,88;13;0,37;1,20;15;40,03;4;35;61,95;47,51
1596;femenino;20;3,82;7,95;2,81;2,67;5,67;3,52;7;0,13;1,88;2;74,61;1;33;42,38;48,83
1597;masculino;27;4,27;5,66;2,71;5,72;5,74;3,87;13;0,02;0,63;9;64,49;2;90;97,02;60,49
1598;masculino;17;2,78;6,12;6,22;2,41;2,43;1,61;14;0,21;0,38;8;84,14;8;71;53,60;40,17
1599;masculino;27;8,45;8,55;4,92;5,35;0,56;1,39;2;0,05;0,32;13;49,54;8;72;47,84;68,03
1600;masculino;29;1,66;6,68;3,37;5,69;2,05;1,82;12;0,14;0,28;9;62,80;10;98;91,50;44,59
1601;masculino;27;3,87;7,13;1,59;7,24;2,16;1,76;2;0,02;0,65;5;91,33;4;68;43,38;59,61
1602;masculino;18;0,59;6,63;4,69;3,68;1,56;1,44;13;0,31;0,12;3;57,75;8;80;59,78;33,22
1603;femenino;25;6,15;8,53;3,74;3,92;0,60;5,84;9;0,12;0,87;8;61,10;5;70;82,93;64,42
1604;femenino;26;6,75;4,28;2,48;0,55;0,61;2,13;14;0,03;0,17;4;91,19;3;42;59,38;55,55
1605;femenino;18;2,87;9,87;4,73;1,40;5,63;0,03;7;0,24;0,98;2;78,32;4;33;67,07;44,16
1606;femenino;21;7,50;9,16;1,44;2,02;4,77;4,10;9;0,22;0,12;9;74,07;8;86;44,61;79,71
1607;masculino;25;4,12;5,80;11,05;7,46;1,40;1,41;10;0,44;1,93;4;40,98;7;55;92,51;26,19
1608;masculino;25;3,46;5,91;7,39;5,13;4,28;2,42;7;0,45;1,65;15;49,11;10;56;40,14;27,96
1609;masculino;24;9,58;8,94;6,01;7,22;0,34;4,27;4;0,10;1,97;10;52,46;1;82;77,67;83,46
1610;masculino;17;6,09;6,12;1,99;2,50;1,52;2,89;3;0,38;1,27;9;74,32;10;47;60,69;49,79
1611;masculino;17;2,90;6,56;9,44;2,64;4,14;4,28;5;0,01;0,00;0;87,74;6;70;43,49;39,08
1612;masculino;25;9,84;8,22;1,37;3,99;3,75;5,62;13;0,43;1,82;0;52,38;1;48;80,27;79,13
1613;femenino;29;4,18;5,72;11,83;5,28;3,75;0,27;13;0,42;0,65;19;48,22;1;48;70,83;30,35
1614;femenino;27;6,65;6,18;10,19;1,18;2,24;0,53;6;0,15;1,58;16;49,24;9;68;95,37;42,92
1615;femenino;24;7,38;3,26;5,92;1,38;1,93;2,25;14;0,46;1,50;2;56,56;4;87;58,06;57,83
1616;masculino;26;4,51;3,93;8,23;6,42;2,36;0,81;11;0,06;1,20;14;54,13;4;68;86,34;36,97
1617;femenino;25;5,59;6,21;1,52;6,90;1,72;3,53;14;0,09;1,17;13;71,07;7;76;40,86;60,74
1618;femenino;23;2,78;3,32;6,12;0,06;0,51;5,81;6;0,40;1,93;3;60,75;9;58;85,62;23,71
1619;femenino;19;4,93;5,15;9,93;5,68;1,21;4,28;9;0,06;1,82;12;54,38;6;32;57,76;25,55
1620;masculino;19;3,45;6,06;1,40;2,87;0,28;4,31;12;0,48;1,15;6;47,29;4;84;79,02;53,27
1621;femenino;18;5,70;3,71;3,00;2,75;1,03;1,62;9;0,03;1,80;12;77,72;8;88;67,07;55,95
1622;femenino;21;6,86;3,46;9,44;4,46;1,70;3,52;14;0,45;1,33;12;62,93;1;83;66,23;53,40
1623;masculino;28;6,33;3,11;5,77;6,04;2,08;3,76;3;0,43;0,67;8;85,17;9;57;90,30;42,66
1624;masculino;28;7,88;6,40;8,15;7,42;5,64;5,42;9;0,15;0,73;5;94,96;10;38;47,99;48,73
1625;masculino;19;0,89;4,03;9,91;0,08;4,83;4,09;9;0,13;0,20;5;61,96;10;96;81,59;22,75
1626;femenino;22;1,25;7,82;2,17;2,13;3,07;4,16;10;0,16;0,82;5;86,19;4;45;54,47;40,94
1627;femenino;18;2,45;6,45;5,89;3,10;3,95;0,69;8;0,43;0,42;12;62,32;7;66;44,00;36,10
1628;masculino;28;9,87;3,13;6,97;0,63;1,03;4,02;11;0,33;1,20;0;96,22;8;41;65,23;53,74
1629;masculino;19;8,10;3,41;7,57;0,28;3,25;5,26;2;0,06;0,48;1;57,31;1;96;61,26;64,95
1630;femenino;21;9,28;9,42;10,25;7,95;4,82;1,64;3;0,08;1,58;12;69,81;4;68;51,27;71,64
1631;masculino;28;3,08;3,87;5,98;5,17;0,94;0,33;13;0,23;1,82;19;40,41;1;53;80,79;30,44
1632;masculino;27;5,95;8,30;4,15;2,15;4,68;1,85;2;0,23;1,38;15;54,48;1;89;68,89;71,67
1633;masculino;27;5,77;4,72;9,73;3,01;2,68;1,73;3;0,24;0,23;1;49,10;10;62;89,35;32,88
1634;femenino;17;5,91;5,25;10,81;5,66;1,20;0,63;13;0,12;1,00;16;82,88;9;41;83,56;32,91
1635;femenino;29;7,32;3,17;4,62;1,16;0,31;2,26;4;0,40;1,63;19;44,22;6;46;43,83;42,01
1636;masculino;17;4,24;6,89;8,85;3,40;5,74;4,95;7;0,13;1,32;11;76,03;1;42;63,55;41,15
1637;otro;26;6,93;6,27;2,94;6,91;1,04;5,34;5;0,23;0,75;4;51,39;3;63;44,67;61,31
1638;femenino;25;7,99;8,21;1,54;2,17;4,85;4,99;4;0,42;1,62;11;86,86;4;48;59,93;73,19
1639;masculino;23;3,25;9,34;4,83;1,38;3,23;5,65;14;0,33;1,73;15;79,63;9;69;94,18;50,68
1640;femenino;17;9,48;6,83;5,18;7,08;5,52;5,57;6;0,31;0,97;12;87,55;7;42;64,18;64,94
1641;masculino;28;5,42;9,67;1,81;7,60;4,93;1,09;5;0,31;1,93;14;46,29;8;71;79,99;62,16
1642;femenino;24;7,46;4,04;1,68;7,04;1,45;0,26;4;0,43;1,70;14;84,52;6;98;73,60;73,07
1643;masculino;19;7,42;5,41;8,62;7,38;5,94;0,92;9;0,38;0,85;8;63,51;8;91;48,03;57,54
1644;femenino;24;5,87;8,81;8,77;3,26;2,35;2,68;10;0,44;1,77;7;74,89;9;58;85,50;49,86
1645;masculino;21;3,57;6,87;1,33;3,75;4,88;5,11;1;0,09;0,75;2;43,57;8;42;51,62;37,57
1646;femenino;17;6,84;6,83;6,33;4,97;5,91;3,11;10;0,30;1,20;17;74,39;10;78;48,19;57,97
1647;masculino;23;1,33;6,22;6,94;0,47;1,84;5,40;4;0,06;0,40;15;80,32;1;47;88,18;32,19
1648;femenino;21;9,82;3,13;6,23;5,45;4,48;0,41;2;0,49;0,00;6;99,75;8;66;64,10;63,39
1649;masculino;22;2,25;3,56;11,76;4,34;1,04;5,61;4;0,40;1,37;8;93,84;3;42;69,22;19,59
1650;femenino;22;3,12;3,63;5,76;7,50;3,58;5,29;11;0,02;1,27;3;68,89;2;91;90,25;46,15
1651;femenino;24;9,57;4,33;6,77;4,35;2,48;4,07;12;0,36;0,17;0;56,27;7;55;51,26;55,15
1652;masculino;25;2,27;3,66;4,07;7,93;1,96;1,26;3;0,01;0,77;16;48,76;9;79;58,63;30,60
1653;femenino;18;2,12;3,75;3,40;7,76;0,57;5,64;3;0,39;0,05;11;74,19;7;30;82,17;21,69
1654;masculino;25;8,14;7,46;9,92;3,21;0,98;1,31;2;0,21;1,30;3;67,61;5;45;72,28;53,08
1655;femenino;28;2,89;3,83;11,17;0,28;5,66;5,67;13;0,27;0,65;8;72,90;3;77;79,63;31,98
1656;femenino;27;1,40;6,26;4,20;6,46;3,71;5,61;7;0,24;0,18;2;68,78;7;46;68,99;28,36
1657;masculino;26;2,65;3,44;10,25;6,82;0,92;4,87;9;0,39;1,98;4;94,17;8;57;71,62;22,95
1658;femenino;25;8,94;4,89;5,35;4,42;2,88;5,33;5;0,06;0,37;5;84,49;2;98;96,56;80,13
1659;masculino;29;3,16;9,47;6,53;5,86;4,41;3,26;5;0,44;1,13;17;52,56;6;44;78,09;38,66
1660;masculino;26;7,10;3,22;2,55;3,82;4,83;4,28;5;0,33;1,63;18;77,73;8;43;49,32;46,84
1661;femenino;26;4,25;9,14;7,22;5,06;4,41;0,13;7;0,47;1,43;4;68,53;4;96;80,31;62,93
1662;femenino;23;2,99;8,32;11,46;4,10;0,96;0,11;6;0,40;0,23;9;88,51;2;85;53,21;50,25
1663;masculino;17;1,87;9,45;1,08;3,84;5,55;5,60;9;0,07;0,07;13;88,71;9;82;67,83;56,77
1664;masculino;23;9,74;8,51;3,50;6,56;2,98;1,66;12;0,14;0,08;3;53,04;10;97;61,90;82,29
1665;femenino;26;5,45;8,78;8,49;1,44;4,17;4,93;10;0,45;0,22;6;69,90;6;43;51,21;45,99
1666;masculino;21;1,59;3,75;3,59;3,40;1,69;2,41;4;0,45;1,25;2;72,39;8;60;93,60;27,44
1667;femenino;22;2,39;8,85;4,73;5,39;3,82;4,89;2;0,47;0,97;17;60,66;8;84;86,70;48,68
1668;femenino;26;4,37;6,34;3,84;7,88;3,16;0,76;3;0,27;1,33;11;40,34;9;64;59,31;41,05
1669;masculino;23;5,67;5,46;11,63;4,57;1,19;1,02;5;0,07;1,83;5;99,67;1;34;76,91;40,20
1670;masculino;21;2,23;4,08;6,10;4,40;5,39;3,89;2;0,44;0,92;5;56,15;8;94;75,01;35,41
1671;femenino;23;3,14;3,00;2,04;4,06;3,82;0,00;5;0,40;0,68;13;82,63;3;70;82,74;44,90
1672;masculino;25;7,95;7,50;1,91;0,42;2,01;2,13;3;0,10;1,17;12;93,24;2;86;99,78;85,99
1673;femenino;19;4,47;8,08;4,07;5,21;3,65;0,50;6;0,24;1,40;12;55,47;2;67;72,04;56,78
1674;otro;24;0,51;5,72;5,11;7,71;5,21;1,57;2;0,37;1,80;14;90,11;9;36;86,09;19,65
1675;femenino;18;1,01;4,15;3,82;5,78;3,33;4,99;1;0,46;1,58;5;44,12;4;48;53,64;21,50
1676;masculino;27;4,67;4,01;6,83;2,56;2,51;5,59;13;0,04;1,88;10;79,17;3;78;76,79;48,51
1677;masculino;23;1,07;4,18;10,53;5,26;3,88;2,60;12;0,16;0,13;19;59,10;7;53;53,03;11,78
1678;femenino;29;2,15;3,39;9,56;4,03;2,04;4,92;8;0,11;0,10;14;69,95;7;79;72,62;26,06
1679;femenino;18;7,41;5,52;7,16;5,33;3,31;0,09;11;0,37;1,03;19;98,41;10;97;92,16;65,59
1680;femenino;20;5,06;7,31;8,83;7,98;2,57;4,63;2;0,37;0,15;13;72,45;9;62;62,16;43,12
1681;masculino;23;5,08;6,13;8,12;4,88;1,35;5,81;14;0,18;1,87;9;81,64;7;57;70,13;43,20
1682;femenino;19;6,18;3,88;1,26;0,15;1,04;4,07;13;0,10;0,28;4;91,72;6;75;50,28;61,52
1683;masculino;18;7,99;8,71;7,80;2,03;2,91;4,54;12;0,22;1,52;5;42,44;3;63;94,82;63,15
1684;femenino;27;2,01;5,01;10,53;3,39;1,33;4,90;10;0,33;0,03;14;51,55;7;58;58,95;18,48
1685;femenino;26;2,14;7,22;10,05;0,56;3,62;2,18;13;0,20;1,38;8;89,82;7;30;73,04;22,91
1686;femenino;23;1,65;4,72;5,91;3,70;5,48;0,60;1;0,23;0,72;13;47,36;8;40;78,19;16,03
1687;masculino;17;9,40;7,16;4,25;3,62;2,74;2,58;14;0,02;1,95;4;56,92;4;36;93,40;63,32
1688;femenino;24;5,98;3,91;4,84;7,02;5,25;0,22;10;0,15;0,23;13;84,62;10;97;87,94;56,59
1689;masculino;19;1,38;7,59;7,01;2,31;5,61;4,07;5;0,19;0,47;19;57,78;2;85;89,39;43,56
1690;femenino;28;2,60;7,01;5,21;3,26;3,59;5,20;13;0,01;1,28;14;76,34;6;36;83,69;33,00
1691;masculino;28;7,39;6,64;4,51;1,89;3,51;5,23;10;0,40;0,50;16;48,16;2;72;92,30;65,22
1692;masculino;29;0,78;4,52;1,86;6,40;4,22;5,13;11;0,43;1,65;7;74,82;5;91;79,14;42,49
1693;masculino;18;7,39;6,70;1,72;6,33;0,84;2,17;7;0,14;0,78;19;45,90;5;84;49,53;70,18
1694;femenino;19;9,16;9,28;0,84;7,56;3,66;3,65;8;0,42;0,45;14;45,17;6;61;45,53;77,56
1695;femenino;21;1,04;3,88;11,93;6,65;3,35;2,32;5;0,13;0,93;1;71,42;6;77;94,09;19,42
1696;femenino;27;2,27;7,93;4,67;6,45;1,36;0,13;14;0,25;1,52;1;49,69;1;67;88,77;46,05
1697;femenino;24;0,52;3,80;1,34;1,89;4,23;2,10;4;0,15;0,05;3;80,74;4;81;82,26;39,06
1698;femenino;26;1,54;5,37;7,03;5,47;4,81;5,52;1;0,38;1,83;3;88,97;4;48;91,01;29,14
1699;masculino;23;6,36;7,79;8,26;0,34;1,35;2,99;11;0,41;0,77;4;43,22;3;44;42,22;46,86
1700;femenino;23;0,93;6,92;8,33;0,18;0,18;4,20;12;0,41;0,17;9;54,00;1;71;83,17;33,61
1701;femenino;28;4,55;7,75;11,65;2,43;3,13;4,89;4;0,03;0,83;19;99,19;2;62;44,97;49,42
1702;masculino;23;5,28;9,74;2,95;6,95;1,04;0,42;14;0,09;1,30;13;62,59;10;90;98,30;66,53
1703;masculino;24;9,11;9,79;10,79;2,20;0,19;2,16;14;0,14;1,30;15;70,17;7;84;57,51;73,03
1704;masculino;17;5,01;9,40;10,92;7,43;2,51;5,89;11;0,34;1,00;4;86,65;1;65;92,83;57,06
1705;masculino;20;1,85;6,46;5,76;1,76;3,36;0,13;12;0,27;0,22;9;87,28;2;35;62,49;33,15
1706;masculino;29;3,25;5,39;11,46;0,38;4,52;5,93;4;0,46;0,02;17;54,38;9;43;63,43;16,79
1707;masculino;22;6,89;4,96;2,82;4,75;2,19;4,72;4;0,37;1,07;6;96,83;7;39;47,36;53,06
1708;femenino;25;1,57;7,03;4,40;6,54;1,28;0,67;7;0,04;0,35;19;75,51;3;66;93,86;42,73
1709;masculino;29;2,70;6,18;9,23;4,56;1,97;3,18;14;0,17;0,93;11;83,24;7;31;74,64;23,10
1710;masculino;18;9,96;9,96;11,37;4,04;3,00;5,65;12;0,46;1,08;6;62,25;5;67;73,03;71,59
1711;femenino;17;0,55;6,75;1,40;3,51;4,03;4,75;9;0,42;1,07;15;62,60;6;50;74,70;31,92
1712;femenino;29;1,95;5,30;8,24;5,73;3,82;4,70;11;0,17;0,17;2;44,69;10;52;67,42;16,42
1713;masculino;26;8,52;7,45;11,35;7,73;3,17;4,42;5;0,07;1,53;8;97,03;2;88;45,13;74,30
1714;femenino;28;1,46;3,31;1,68;2,51;1,53;0,25;9;0,38;0,00;6;80,58;8;49;71,95;26,55
1715;masculino;18;0,82;3,78;2,61;2,74;3,37;3,61;3;0,22;1,73;18;76,53;1;63;96,79;34,98
1716;masculino;23;1,65;7,65;8,29;0,54;4,13;1,83;3;0,32;0,22;12;68,45;2;56;71,26;35,15
1717;masculino;19;7,09;3,86;7,77;1,32;5,37;1,16;1;0,16;0,57;8;58,68;8;65;94,92;44,11
1718;femenino;26;9,93;8,29;3,93;4,21;0,02;2,26;7;0,38;0,03;5;41,54;3;66;85,72;77,48
1719;femenino;18;6,11;3,43;11,27;2,52;3,50;4,73;7;0,28;0,87;16;71,73;6;35;75,80;27,61
1720;femenino;27;1,68;7,16;4,95;6,56;3,73;0,76;6;0,48;1,57;16;96,29;4;55;78,01;41,39
1721;otro;23;2,25;7,75;4,43;4,98;1,28;1,92;9;0,34;1,68;12;73,70;4;41;89,37;38,10
1722;femenino;29;5,61;8,46;10,17;5,85;3,36;2,12;10;0,17;0,48;16;73,10;4;31;49,26;41,89
1723;femenino;29;7,30;9,20;6,96;3,53;4,46;0,75;4;0,11;0,57;6;80,77;5;66;63,61;67,87
1724;femenino;18;6,80;5,19;5,58;0,80;4,99;0,82;12;0,49;0,88;17;94,85;2;93;88,46;71,38
1725;masculino;19;5,96;8,03;6,76;4,50;3,95;1,30;9;0,33;1,47;5;41,19;4;97;86,24;63,96
1726;masculino;27;9,87;3,57;8,74;2,07;5,85;3,78;2;0,12;1,03;12;90,80;10;41;93,73;49,03
1727;femenino;23;2,38;8,81;1,46;4,18;5,00;2,53;6;0,20;0,88;9;49,80;2;80;60,03;57,24
1728;femenino;20;2,14;9,23;4,34;0,89;2,37;5,99;2;0,47;0,10;18;68,90;9;51;60,52;38,82
1729;femenino;29;8,66;8,24;10,40;6,23;5,22;0,95;14;0,01;1,65;4;48,22;1;51;80,72;59,77
1730;masculino;17;3,26;4,97;8,92;3,20;1,27;0,43;3;0,32;1,73;10;50,24;9;86;59,77;33,06
1731;femenino;29;3,66;3,44;1,35;5,32;4,23;5,79;8;0,05;0,58;8;91,28;2;78;63,72;54,52
1732;femenino;21;5,71;5,95;5,79;3,94;1,01;4,10;1;0,23;0,55;18;99,20;7;46;54,59;48,48
1733;masculino;28;4,12;4,89;4,04;3,73;5,83;0,94;12;0,42;1,13;3;47,58;1;35;84,20;36,15
1734;femenino;25;3,23;6,71;9,62;3,06;3,85;4,78;12;0,01;1,77;2;62,64;1;94;62,86;49,72
1735;femenino;24;9,21;5,76;2,15;3,86;4,47;2,39;9;0,37;0,25;0;49,74;2;74;46,16;75,42
1736;femenino;28;1,73;3,95;2,17;4,90;3,70;4,32;7;0,49;0,15;6;48,80;2;61;59,39;33,86
1737;femenino;25;4,34;8,86;9,03;1,79;2,63;2,34;9;0,24;0,67;11;61,13;5;48;78,48;41,82
1738;masculino;26;0,53;9,05;11,85;5,72;2,09;3,88;14;0,16;0,82;10;60,80;5;87;44,03;33,89
1739;masculino;25;8,17;8,69;4,99;3,88;1,68;4,18;3;0,32;0,78;9;60,62;9;76;67,28;69,10
1740;femenino;23;2,10;4,47;10,43;4,93;4,74;0,27;10;0,49;1,17;11;82,04;8;81;62,08;28,87
1741;femenino;20;7,84;6,00;5,08;3,78;1,39;1,14;10;0,46;1,42;8;41,34;3;86;46,50;66,86
1742;femenino;21;1,91;4,20;8,05;1,31;5,13;3,51;12;0,43;1,27;4;51,90;7;38;81,12;13,45
1743;masculino;17;4,46;7,66;6,10;2,62;4,54;0,27;5;0,35;1,80;2;84,83;7;96;81,69;61,06
1744;masculino;17;7,42;8,63;9,05;2,72;2,45;1,70;13;0,38;1,15;13;82,07;3;67;93,28;66,16
1745;masculino;19;3,07;7,07;1,16;3,24;3,85;5,25;4;0,33;1,90;11;64,04;4;95;68,63;61,01
1746;masculino;29;3,48;6,82;6,82;2,55;4,86;4,64;9;0,02;1,90;9;84,39;7;79;69,12;47,82
1747;femenino;24;6,84;8,00;11,98;5,40;0,10;4,71;3;0,33;0,38;1;62,06;8;66;96,14;48,25
1748;femenino;18;2,28;3,79;9,14;7,95;1,62;0,19;13;0,07;0,02;5;66,60;6;58;97,88;22,11
1749;masculino;20;9,54;4,73;3,15;5,65;5,82;2,70;13;0,13;1,23;5;87,81;3;70;60,91;76,24
1750;masculino;18;2,29;5,20;4,02;7,67;2,44;5,10;14;0,16;1,12;18;51,13;2;47;82,16;32,50
1751;masculino;21;7,62;6,73;8,43;5,91;4,18;1,49;10;0,08;0,57;18;76,90;1;59;99,57;61,63
1752;masculino;25;8,12;9,83;2,21;4,69;1,09;5,57;9;0,08;0,67;17;80,85;2;94;78,41;93,11
1753;femenino;17;4,06;9,04;0,58;5,65;2,22;0,13;2;0,04;1,15;12;53,76;10;54;93,71;50,13
1754;femenino;21;1,98;4,73;9,39;6,53;4,82;4,61;4;0,05;1,77;5;45,37;4;98;81,38;34,62
